Generation	Total Cells	Plasmid	Donors	Recipients	Empty	Antibiotic	Percentage	
Generation	Total Cells	Plasmid	Donors	Recipients	Empty	Antibiotic	Percentage	
Generation	Total Cells	Plasmid	Donors	Recipients	Empty	Antibiotic	Percentage	
28	5000	2	4422	65	513	0	0.9855137	
29	5000	2	4434	53	513	0	0.9881881	
30	5000	2	4442	45	513	0	0.98997104	
31	5000	2	4448	39	513	0	0.9913082	
32	5000	2	4455	32	513	0	0.9928683	
33	5000	2	4458	29	513	0	0.9935369	
34	5000	2	4458	29	513	0	0.9935369	
35	5000	2	4459	28	513	0	0.99375975	
36	5000	2	4462	25	513	0	0.99442834	
37	5000	2	4465	22	513	0	0.9950969	
38	5000	2	4465	22	513	0	0.9950969	
39	5000	2	4466	21	513	0	0.9953198	
40	5000	2	4466	21	513	0	0.9953198	
41	5000	2	4466	21	513	0	0.9953198	
42	5000	2	4466	21	513	0	0.9953198	
43	5000	2	4467	20	513	0	0.9955427	
44	5000	2	4467	20	513	0	0.9955427	
45	5000	2	4469	18	513	0	0.9959884	
46	5000	2	4470	17	513	0	0.9962113	
47	5000	2	4470	17	513	0	0.9962113	
48	5000	2	4471	16	513	0	0.99643415	
49	5000	2	4472	15	513	0	0.996657	
50	5000	2	4473	14	513	0	0.9968799	
Generation	Total Cells	Plasmid	Donors	Recipients	Empty	Antibiotic	Percentage	
1	5000	3	580	3972	448	0	0.12741652	
2	5000	3	744	3808	448	0	0.16344464	
3	5000	3	887	3665	448	0	0.1948594	
4	5000	3	1037	3515	448	0	0.22781195	
5	5000	3	1222	3330	448	0	0.26845342	
6	5000	3	1367	3185	448	0	0.30030757	
7	5000	3	1543	3009	448	0	0.33897188	
8	5000	3	1716	2836	448	0	0.37697715	
9	5000	3	1909	2643	448	0	0.4193761	
10	5000	3	2096	2456	448	0	0.46045694	
11	5000	3	2273	2279	448	0	0.49934095	
12	5000	3	2439	2113	448	0	0.53580844	
13	5000	3	2590	1962	448	0	0.5689807	
14	5000	3	2754	1798	448	0	0.6050088	
15	5000	3	2897	1655	448	0	0.6364235	
16	5000	3	3039	1513	448	0	0.66761863	
17	5000	3	3143	1409	448	0	0.69046575	
18	5000	3	3236	1316	448	0	0.7108963	
19	5000	3	3313	1239	448	0	0.72781193	
20	5000	3	3393	1159	448	0	0.74538666	
21	5000	3	3446	1106	448	0	0.7570299	
22	5000	3	3501	1051	448	0	0.76911247	
23	5000	3	3567	985	448	0	0.7836116	
24	5000	3	3629	923	448	0	0.797232	
25	5000	3	3675	877	448	0	0.80733746	
26	5000	3	3729	823	448	0	0.81920034	
27	5000	3	3774	778	448	0	0.8290861	
28	5000	3	3810	742	448	0	0.8369947	
29	5000	3	3840	712	448	0	0.84358525	
30	5000	3	3861	691	448	0	0.8481986	
31	5000	3	3893	659	448	0	0.8552285	
32	5000	3	3919	633	448	0	0.8609402	
33	5000	3	3944	608	448	0	0.8664323	
34	5000	3	3971	581	448	0	0.8723638	
35	5000	3	4002	550	448	0	0.879174	
36	5000	3	4043	509	448	0	0.88818103	
37	5000	3	4079	473	448	0	0.8960896	
38	5000	3	4112	440	448	0	0.9033392	
39	5000	3	4140	412	448	0	0.90949035	
40	5000	3	4160	392	448	0	0.913884	
41	5000	3	4184	368	448	0	0.91915643	
42	5000	3	4211	341	448	0	0.92508787	
43	5000	3	4236	316	448	0	0.93057996	
44	5000	3	4259	293	448	0	0.9356327	
45	5000	3	4276	276	448	0	0.9393673	
46	5000	3	4298	254	448	0	0.94420034	
47	5000	3	4317	235	448	0	0.94837433	
48	5000	3	4336	216	448	0	0.9525483	
49	5000	3	4351	201	448	0	0.95584357	
50	5000	3	4364	188	448	0	0.95869946	
