Generation	Total Cells	Plasmid	Donors	Recipients	Empty	Antibiotic	Percentage	
Generation	Total Cells	Plasmid	Donors	Recipients	Empty	Antibiotic	Percentage	
Generation	Total Cells	Plasmid	Donors	Recipients	Empty	Antibiotic	Percentage	
Generation	Total Cells	Plasmid	Donors	Recipients	Empty	Antibiotic	Percentage	
Generation	Total Cells	Plasmid	Donors	Recipients	Empty	Antibiotic	Percentage	
Generation	Total Cells	Plasmid	Donors	Recipients	Empty	Antibiotic	Percentage	
Generation	Total Cells	Plasmid	Donors	Recipients	Empty	Antibiotic	Percentage	
Generation	Total Cells	Plasmid	Donors	Recipients	Empty	Antibiotic	Percentage	
Generation	Total Cells	Plasmid	Donors	Recipients	Empty	Antibiotic	Percentage	
637	2500	0	1107	1393	0	0	0.4428	
638	2500	0	1110	1390	0	0	0.444	
639	2500	0	1112	1388	0	0	0.4448	
640	2500	0	1113	1387	0	0	0.4452	
641	2500	0	1116	1384	0	0	0.4464	
642	2500	0	1117	1383	0	0	0.4468	
643	2500	0	1122	1378	0	0	0.4488	
644	2500	0	1126	1374	0	0	0.4504	
645	2500	0	1130	1370	0	0	0.452	
646	2500	0	1133	1367	0	0	0.4532	
647	2500	0	1136	1364	0	0	0.4544	
648	2500	0	1142	1358	0	0	0.4568	
649	2500	0	1143	1357	0	0	0.4572	
650	2500	0	1144	1356	0	0	0.4576	
651	2500	0	1146	1354	0	0	0.4584	
652	2500	0	1147	1353	0	0	0.4588	
653	2500	0	1148	1352	0	0	0.4592	
654	2500	0	1152	1348	0	0	0.4608	
655	2500	0	1155	1345	0	0	0.462	
656	2500	0	1156	1344	0	0	0.4624	
657	2500	0	1156	1344	0	0	0.4624	
658	2500	0	1163	1337	0	0	0.4652	
659	2500	0	1165	1335	0	0	0.466	
660	2500	0	1167	1333	0	0	0.4668	
661	2500	0	1173	1327	0	0	0.4692	
662	2500	0	1173	1327	0	0	0.4692	
663	2500	0	1174	1326	0	0	0.4696	
664	2500	0	1178	1322	0	0	0.4712	
665	2500	0	1188	1312	0	0	0.4752	
666	2500	0	1188	1312	0	0	0.4752	
667	2500	0	1192	1308	0	0	0.4768	
668	2500	0	1194	1306	0	0	0.4776	
669	2500	0	1199	1301	0	0	0.4796	
670	2500	0	1203	1297	0	0	0.4812	
671	2500	0	1207	1293	0	0	0.4828	
672	2500	0	1208	1292	0	0	0.4832	
673	2500	0	1211	1289	0	0	0.4844	
674	2500	0	1213	1287	0	0	0.4852	
675	2500	0	1219	1281	0	0	0.4876	
676	2500	0	1221	1279	0	0	0.4884	
677	2500	0	1222	1278	0	0	0.4888	
678	2500	0	1223	1277	0	0	0.4892	
679	2500	0	1228	1272	0	0	0.4912	
680	2500	0	1229	1271	0	0	0.4916	
681	2500	0	1233	1267	0	0	0.4932	
682	2500	0	1235	1265	0	0	0.494	
683	2500	0	1235	1265	0	0	0.494	
684	2500	0	1237	1263	0	0	0.4948	
685	2500	0	1239	1261	0	0	0.4956	
686	2500	0	1240	1260	0	0	0.496	
687	2500	0	1240	1260	0	0	0.496	
688	2500	0	1242	1258	0	0	0.4968	
689	2500	0	1250	1250	0	0	0.5	
690	2500	0	1256	1244	0	0	0.5024	
691	2500	0	1260	1240	0	0	0.504	
692	2500	0	1263	1237	0	0	0.5052	
693	2500	0	1269	1231	0	0	0.5076	
694	2500	0	1270	1230	0	0	0.508	
695	2500	0	1272	1228	0	0	0.5088	
696	2500	0	1272	1228	0	0	0.5088	
697	2500	0	1273	1227	0	0	0.5092	
698	2500	0	1273	1227	0	0	0.5092	
699	2500	0	1273	1227	0	0	0.5092	
700	2500	0	1273	1227	0	0	0.5092	
701	2500	0	1273	1227	0	0	0.5092	
702	2500	0	1275	1225	0	0	0.51	
703	2500	0	1275	1225	0	0	0.51	
704	2500	0	1278	1222	0	0	0.5112	
705	2500	0	1280	1220	0	0	0.512	
706	2500	0	1280	1220	0	0	0.512	
707	2500	0	1282	1218	0	0	0.5128	
708	2500	0	1282	1218	0	0	0.5128	
709	2500	0	1283	1217	0	0	0.5132	
710	2500	0	1286	1214	0	0	0.5144	
711	2500	0	1294	1206	0	0	0.5176	
712	2500	0	1297	1203	0	0	0.5188	
713	2500	0	1297	1203	0	0	0.5188	
714	2500	0	1302	1198	0	0	0.5208	
715	2500	0	1302	1198	0	0	0.5208	
716	2500	0	1303	1197	0	0	0.5212	
717	2500	0	1307	1193	0	0	0.5228	
718	2500	0	1308	1192	0	0	0.5232	
719	2500	0	1309	1191	0	0	0.5236	
720	2500	0	1309	1191	0	0	0.5236	
721	2500	0	1310	1190	0	0	0.524	
722	2500	0	1314	1186	0	0	0.5256	
723	2500	0	1318	1182	0	0	0.5272	
724	2500	0	1319	1181	0	0	0.5276	
725	2500	0	1325	1175	0	0	0.53	
726	2500	0	1325	1175	0	0	0.53	
727	2500	0	1332	1168	0	0	0.5328	
728	2500	0	1333	1167	0	0	0.5332	
729	2500	0	1341	1159	0	0	0.5364	
730	2500	0	1347	1153	0	0	0.5388	
731	2500	0	1349	1151	0	0	0.5396	
732	2500	0	1350	1150	0	0	0.54	
733	2500	0	1354	1146	0	0	0.5416	
734	2500	0	1355	1145	0	0	0.542	
735	2500	0	1361	1139	0	0	0.5444	
736	2500	0	1364	1136	0	0	0.5456	
737	2500	0	1365	1135	0	0	0.546	
738	2500	0	1367	1133	0	0	0.5468	
739	2500	0	1367	1133	0	0	0.5468	
740	2500	0	1367	1133	0	0	0.5468	
741	2500	0	1368	1132	0	0	0.5472	
742	2500	0	1370	1130	0	0	0.548	
743	2500	0	1376	1124	0	0	0.5504	
744	2500	0	1380	1120	0	0	0.552	
745	2500	0	1383	1117	0	0	0.5532	
746	2500	0	1387	1113	0	0	0.5548	
747	2500	0	1390	1110	0	0	0.556	
748	2500	0	1395	1105	0	0	0.558	
749	2500	0	1399	1101	0	0	0.5596	
750	2500	0	1404	1096	0	0	0.5616	
751	2500	0	1407	1093	0	0	0.5628	
752	2500	0	1410	1090	0	0	0.564	
753	2500	0	1413	1087	0	0	0.5652	
754	2500	0	1419	1081	0	0	0.5676	
755	2500	0	1419	1081	0	0	0.5676	
756	2500	0	1422	1078	0	0	0.5688	
757	2500	0	1423	1077	0	0	0.5692	
758	2500	0	1424	1076	0	0	0.5696	
759	2500	0	1426	1074	0	0	0.5704	
760	2500	0	1432	1068	0	0	0.5728	
761	2500	0	1437	1063	0	0	0.5748	
762	2500	0	1438	1062	0	0	0.5752	
763	2500	0	1447	1053	0	0	0.5788	
764	2500	0	1447	1053	0	0	0.5788	
765	2500	0	1454	1046	0	0	0.5816	
766	2500	0	1458	1042	0	0	0.5832	
767	2500	0	1462	1038	0	0	0.5848	
768	2500	0	1463	1037	0	0	0.5852	
769	2500	0	1466	1034	0	0	0.5864	
770	2500	0	1473	1027	0	0	0.5892	
771	2500	0	1474	1026	0	0	0.5896	
772	2500	0	1480	1020	0	0	0.592	
773	2500	0	1481	1019	0	0	0.5924	
774	2500	0	1486	1014	0	0	0.5944	
775	2500	0	1488	1012	0	0	0.5952	
776	2500	0	1490	1010	0	0	0.596	
777	2500	0	1492	1008	0	0	0.5968	
778	2500	0	1493	1007	0	0	0.5972	
779	2500	0	1497	1003	0	0	0.5988	
780	2500	0	1498	1002	0	0	0.5992	
781	2500	0	1501	999	0	0	0.6004	
782	2500	0	1504	996	0	0	0.6016	
783	2500	0	1509	991	0	0	0.6036	
784	2500	0	1510	990	0	0	0.604	
785	2500	0	1510	990	0	0	0.604	
786	2500	0	1513	987	0	0	0.6052	
787	2500	0	1518	982	0	0	0.6072	
788	2500	0	1519	981	0	0	0.6076	
789	2500	0	1520	980	0	0	0.608	
790	2500	0	1522	978	0	0	0.6088	
791	2500	0	1525	975	0	0	0.61	
792	2500	0	1526	974	0	0	0.6104	
793	2500	0	1529	971	0	0	0.6116	
794	2500	0	1532	968	0	0	0.6128	
795	2500	0	1535	965	0	0	0.614	
796	2500	0	1538	962	0	0	0.6152	
797	2500	0	1541	959	0	0	0.6164	
798	2500	0	1544	956	0	0	0.6176	
799	2500	0	1545	955	0	0	0.618	
800	2500	0	1547	953	0	0	0.6188	
801	2500	0	1549	951	0	0	0.6196	
802	2500	0	1552	948	0	0	0.6208	
803	2500	0	1555	945	0	0	0.622	
804	2500	0	1557	943	0	0	0.6228	
805	2500	0	1558	942	0	0	0.6232	
806	2500	0	1566	934	0	0	0.6264	
807	2500	0	1572	928	0	0	0.6288	
808	2500	0	1575	925	0	0	0.63	
809	2500	0	1580	920	0	0	0.632	
810	2500	0	1586	914	0	0	0.6344	
811	2500	0	1590	910	0	0	0.636	
812	2500	0	1592	908	0	0	0.6368	
813	2500	0	1593	907	0	0	0.6372	
814	2500	0	1596	904	0	0	0.6384	
815	2500	0	1597	903	0	0	0.6388	
816	2500	0	1598	902	0	0	0.6392	
817	2500	0	1601	899	0	0	0.6404	
818	2500	0	1602	898	0	0	0.6408	
819	2500	0	1606	894	0	0	0.6424	
820	2500	0	1609	891	0	0	0.6436	
